Year,Industry,Robots_Adopted,Productivity_Gain,Cost_Savings,Jobs_Displaced,Training_Hours
2022,Electronics,6129,25.45,454.92,2607,200
2020,Automotive,8546,9.11,355.41,3492,327
2024,Electronics,1105,26.53,140.05,210,140
2025,Construction,6793,20.58,363.51,805,309
2017,Aerospace,5603,6.84,424.76,1305,167
2025,Healthcare,5679,23.82,433.7,2384,130
2023,Agriculture,7530,16.55,387.85,852,217
2021,Logistics,8944,19.36,227.55,2882,225
2025,Agriculture,6697,5.58,338.76,1733,122
2020,Energy,6313,19.17,316.35,1248,145
2022,Pharmaceutical,6677,26.64,436.61,304,325
2022,Aerospace,6053,22.94,175.55,1346,434
2021,Healthcare,8158,11.53,302.82,2067,454
2017,Food & Beverage,6983,17.77,258.39,2000,53
2023,Electronics,844,15.54,62.49,192,233
2022,Automotive,3024,17.25,62.16,1284,282
2019,Electronics,5449,18.65,190.47,615,287
2017,Logistics,93,6.2,148.06,29,323
2021,Energy,7063,9.07,345.33,3101,402
2021,Construction,8575,12.53,202.69,508,235
2024,Logistics,4192,14.98,284.14,634,207
2016,Agriculture,2893,17.82,76.26,1015,247
2020,Automotive,8671,12.72,63.47,1228,283
2023,Agriculture,589,28.47,267.82,199,159
2025,Food & Beverage,9844,27.08,16.57,1783,262
2025,Pharmaceutical,173,13.75,109.31,63,89
2021,Pharmaceutical,1855,29.42,351.79,621,336
2015,Electronics,3539,8.1,384.26,889,180
2018,Aerospace,1516,10.82,77.64,90,117
2020,Logistics,9548,5.16,163.03,751,11
2023,Logistics,7891,8.93,300.15,3124,66
2024,Logistics,7228,25.01,397.83,2509,293
2017,Food & Beverage,5755,7.59,71.18,1315,119
2023,Healthcare,1088,29.58,153.97,332,122
2020,Healthcare,3933,26.48,49.52,1549,349
2020,Energy,4253,5.72,411.34,1130,347
2018,Food & Beverage,2329,8.44,496.86,1005,377
2025,Electronics,2195,12.99,484.03,200,240
2024,Electronics,4589,14.23,21.59,1513,389
2025,Construction,619,17.69,497.35,53,276
2025,Aerospace,4802,13.13,224.43,200,357
2016,Automotive,7252,24.74,297.61,2135,484
2023,Agriculture,1662,25.54,469.07,175,68
2017,Food & Beverage,3650,24.09,175.15,300,84
2023,Food & Beverage,8838,15.48,437.39,3655,315
2025,Food & Beverage,9373,24.97,140.82,83,139
2021,Healthcare,5689,28.43,431.29,677,333
2019,Aerospace,7276,12.57,442.9,2355,333
2016,Food & Beverage,7586,12.53,291.43,2104,258
2019,Automotive,3755,28.54,363.9,1319,252
2019,Energy,2643,19.17,144.61,718,57
2017,Agriculture,9961,13.43,477.98,3042,343
2016,Electronics,4701,6.32,31.39,725,387
2023,Agriculture,1593,24.46,62.35,302,330
2015,Aerospace,4432,5.64,35.34,309,132
2020,Agriculture,297,21.49,239.82,64,255
2024,Logistics,8466,18.56,383.89,338,350
2024,Automotive,7360,8.22,330.45,3182,83
2019,Healthcare,9940,25.26,289.76,4270,364
2017,Agriculture,8908,7.03,121.91,3699,467
2015,Food & Beverage,917,23.46,14.11,246,291
2015,Food & Beverage,7971,18.34,31.19,1118,181
2016,Pharmaceutical,8140,6.03,16.51,3084,255
2015,Food & Beverage,5019,29.96,446.98,312,417
2015,Healthcare,7389,22.72,104.36,2322,459
2023,Aerospace,658,7.83,50.78,34,20
2025,Logistics,7462,12.37,189.17,3058,229
2024,Energy,8384,16.79,443.95,2710,422
2017,Food & Beverage,5702,22.23,397.81,34,320
2022,Food & Beverage,2292,8.95,292.73,285,362
2020,Aerospace,6452,6.39,93.37,213,411
2015,Construction,5429,24.3,158.78,2457,162
2019,Food & Beverage,3022,17.87,286.64,236,296
2021,Logistics,2630,8.65,156.77,999,320
2022,Electronics,4510,9.52,325.19,469,47
2025,Aerospace,4514,15.41,458.89,625,364
2021,Electronics,4285,26.25,499.04,2067,498
2019,Food & Beverage,9640,20.33,321.2,2520,218
2019,Construction,4378,8.09,345.22,1332,213
2017,Pharmaceutical,1845,18.94,147.92,170,351
2016,Electronics,5670,27.89,297.54,1219,108
2023,Agriculture,8554,16.6,439.58,1481,481
2025,Energy,7515,20.3,395.41,3655,234
2018,Pharmaceutical,2757,17.02,23.66,581,281
2018,Construction,3280,11.53,326.68,95,263
2023,Logistics,2298,23.4,220.75,1140,226
2023,Pharmaceutical,5276,12.73,148.82,1467,472
2018,Aerospace,8245,7.27,182.76,3984,352
2022,Aerospace,1763,12.93,175.97,767,464
2022,Agriculture,7130,5.29,436.53,1894,365
2015,Healthcare,5457,16.08,103.71,394,400
2021,Electronics,9614,23.83,222.25,555,353
2015,Automotive,887,5.18,123.1,249,223
2018,Pharmaceutical,1149,14.9,363.1,21,22
2021,Electronics,8851,7.07,352.0,2188,411
2015,Construction,8095,17.24,436.01,3313,396
2020,Aerospace,3615,29.53,230.5,402,210
2022,Electronics,352,18.38,73.24,31,117
2020,Food & Beverage,703,15.79,10.83,253,364
2016,Aerospace,2291,21.32,444.27,832,181
2016,Agriculture,1414,25.07,198.28,550,368
2022,Energy,5292,25.75,74.16,2636,302
2020,Construction,3094,27.97,464.18,818,77
2016,Automotive,6213,16.16,299.81,138,460
2024,Construction,4144,20.2,137.32,1885,354
2022,Construction,445,26.0,138.05,66,487
2024,Healthcare,7350,29.5,217.51,2291,422
2020,Food & Beverage,592,26.35,75.42,8,185
2022,Automotive,8528,11.72,463.98,808,364
2017,Construction,4981,14.52,173.87,2000,288
2015,Agriculture,2622,10.59,420.01,976,323
2022,Healthcare,6690,7.93,407.67,954,283
2024,Logistics,1699,27.24,215.58,296,86
2020,Energy,1755,5.96,282.99,761,223
2025,Logistics,1432,5.73,426.36,426,108
2020,Automotive,9991,14.25,346.11,3652,325
2025,Food & Beverage,1152,25.54,75.21,412,416
2022,Healthcare,540,16.92,76.22,131,150
2024,Pharmaceutical,5023,28.23,357.91,2060,325
2019,Electronics,7133,5.79,243.37,2571,373
2020,Construction,3795,20.99,423.55,450,285
2022,Agriculture,6561,18.48,53.72,2900,180
2017,Logistics,2025,19.14,59.91,1010,123
2024,Construction,2889,10.19,469.8,495,41
2024,Construction,8797,17.7,392.9,245,457
2021,Logistics,6411,20.19,57.45,3144,89
2016,Aerospace,7633,27.5,162.76,2374,90
2024,Energy,6900,16.75,239.45,2917,109
2018,Pharmaceutical,4716,6.42,76.5,788,420
2022,Construction,3405,21.12,447.92,439,92
2021,Electronics,936,6.81,462.36,103,88
2017,Electronics,7278,18.58,359.69,943,365
2018,Healthcare,5637,12.82,139.87,1109,370
2019,Electronics,5903,26.11,337.55,1824,276
2017,Energy,4827,22.51,172.97,2140,62
2015,Construction,2863,12.73,289.51,1225,124
2021,Automotive,4081,22.83,436.18,1697,455
2021,Pharmaceutical,2009,28.07,132.7,27,100
2024,Logistics,9497,8.93,59.27,400,327
2025,Logistics,9617,10.1,35.78,858,258
2024,Agriculture,9666,29.64,200.1,1803,333
2022,Aerospace,1998,12.02,482.41,871,392
2024,Pharmaceutical,6416,16.94,291.2,1471,216
2018,Automotive,7810,15.54,197.96,3492,391
2018,Energy,8250,24.93,344.4,1316,177
2020,Construction,3671,16.26,201.85,487,354
2024,Automotive,4559,14.31,180.17,1167,152
2018,Energy,8818,26.2,62.24,2316,286
2018,Energy,4840,9.9,181.01,101,234
2022,Agriculture,8226,10.56,104.5,4108,265
2015,Agriculture,9785,27.11,353.18,3177,381
2017,Construction,282,22.43,432.05,80,317
2020,Automotive,3104,22.77,480.7,1208,176
2023,Electronics,3817,24.86,360.22,831,461
2022,Pharmaceutical,1179,6.44,307.0,351,203
2022,Construction,928,29.4,315.22,268,159
2023,Energy,6882,20.5,494.88,1055,117
2025,Logistics,8512,9.27,178.57,2766,444
2022,Electronics,5273,26.96,54.01,1167,275
2020,Automotive,6687,21.47,73.56,669,219
2019,Aerospace,5869,10.04,309.63,2101,145
2016,Agriculture,139,18.72,189.59,10,182
2021,Agriculture,6634,8.8,377.97,2274,270
2018,Agriculture,4495,5.22,88.81,926,269
2016,Logistics,5283,26.9,114.41,1568,305
2024,Construction,8782,24.02,177.58,1353,276
2017,Food & Beverage,9539,26.94,437.86,2387,35
2022,Electronics,3167,27.56,211.41,1331,191
2018,Agriculture,2673,7.96,261.96,1149,117
2017,Automotive,6861,23.46,33.29,375,178
2015,Construction,7045,10.62,240.01,2391,61
2020,Food & Beverage,4109,11.89,71.89,278,98
2022,Food & Beverage,6047,18.54,107.42,1433,371
2020,Construction,9074,15.7,167.51,3502,499
2020,Electronics,1229,14.1,231.42,425,144
2020,Pharmaceutical,7451,21.72,213.81,2048,54
2024,Logistics,2563,6.38,406.63,1058,85
2025,Construction,7651,22.4,223.97,2227,444
2025,Electronics,1175,25.27,257.09,360,460
2018,Aerospace,9892,7.87,382.99,700,387
2016,Pharmaceutical,9878,5.46,123.25,3721,186
2020,Agriculture,632,6.14,245.16,201,84
2025,Electronics,648,12.16,198.8,38,101
2025,Automotive,2612,6.98,217.86,148,483
2023,Energy,2739,23.73,169.01,1035,414
2024,Automotive,6043,14.6,295.29,952,151
2018,Construction,8053,22.54,5.27,2390,19
2024,Food & Beverage,6658,21.2,137.1,346,357
2018,Automotive,6484,29.82,289.57,945,200
2019,Logistics,5652,11.58,314.27,1832,64
2023,Logistics,7443,20.17,181.53,2488,89
2024,Food & Beverage,3913,14.39,493.09,1575,139
2015,Food & Beverage,5178,21.19,170.19,631,387
2020,Agriculture,1192,22.76,142.99,167,107
2022,Energy,9388,20.93,185.42,4505,249
2025,Automotive,2903,14.94,87.87,385,463
2022,Healthcare,163,8.61,245.23,23,159
2022,Agriculture,219,12.72,467.1,22,173
2018,Healthcare,1075,7.37,77.2,62,376
2024,Electronics,5187,24.34,290.3,1607,143
2020,Automotive,1411,15.08,457.04,419,288
2023,Construction,6885,19.07,434.45,1608,420
2020,Electronics,4703,13.82,372.52,1891,451
2015,Construction,9531,27.14,401.31,4019,30
2017,Logistics,1861,19.32,192.52,488,176
2022,Agriculture,3326,11.52,283.76,13,311
2025,Food & Beverage,8045,22.44,486.3,142,93
2020,Aerospace,4625,24.41,41.36,2173,72
2024,Healthcare,8922,20.82,414.5,2545,173
2017,Agriculture,4204,29.77,352.56,374,442
2025,Food & Beverage,4831,17.4,209.43,1605,248
2020,Aerospace,1530,7.17,493.59,729,99
2024,Food & Beverage,7340,9.03,254.49,1894,276
2019,Construction,4287,12.97,120.51,2043,253
2021,Logistics,4521,10.75,199.42,150,10
2018,Electronics,4800,15.1,303.02,762,145
2024,Food & Beverage,3670,24.41,61.64,1797,265
2017,Energy,6770,13.49,138.37,83,268
2019,Healthcare,3213,24.21,422.31,799,407
2023,Agriculture,7799,14.45,300.37,2899,403
2019,Food & Beverage,9577,29.93,381.4,3005,160
2025,Construction,7762,17.68,84.02,1207,175
2018,Logistics,5183,19.32,92.42,233,304
2016,Agriculture,8421,11.39,9.77,2496,498
2017,Aerospace,1070,24.01,24.26,65,288
2017,Automotive,2675,18.8,385.99,864,122
2018,Electronics,9882,9.92,34.41,4941,19
2015,Agriculture,5068,24.56,14.44,1435,31
2023,Aerospace,6761,25.84,37.75,2434,206
2023,Electronics,6742,14.64,362.1,1174,67
2020,Electronics,1442,24.44,424.42,596,487
2016,Energy,4592,16.19,414.63,310,238
2025,Agriculture,8321,22.22,491.8,802,393
2019,Healthcare,2818,21.81,152.65,1176,166
2016,Agriculture,2050,5.36,223.31,853,464
2025,Automotive,3679,24.76,212.11,226,194
2016,Automotive,5993,23.76,318.78,609,380
2022,Food & Beverage,7165,19.3,57.22,884,349
2015,Automotive,4603,27.15,493.5,1791,182
2025,Electronics,196,14.48,44.12,74,335
2025,Food & Beverage,8866,28.43,100.11,1854,344
2025,Automotive,2638,17.6,226.05,287,291
2015,Logistics,6957,26.72,1.53,733,481
2017,Pharmaceutical,3063,25.96,370.56,1223,107
2024,Construction,7363,12.6,332.26,2519,371
2024,Logistics,7034,12.59,125.19,3005,298
2020,Healthcare,8462,20.25,403.98,3370,85
2016,Electronics,1862,27.12,335.26,804,351
2023,Energy,3033,29.88,382.76,161,118
2025,Automotive,1081,7.49,445.46,385,172
2017,Agriculture,7978,13.72,257.18,2906,409
2016,Energy,1369,14.32,394.01,566,427
2023,Agriculture,7414,13.49,254.13,336,110
2017,Pharmaceutical,2069,16.46,115.28,149,330
2018,Food & Beverage,6983,21.31,40.18,2595,11
2024,Automotive,3081,24.33,305.18,946,342
2016,Aerospace,995,14.45,419.26,1,404
2016,Energy,372,26.1,333.33,43,442
2017,Automotive,9078,11.18,269.35,530,115
2022,Healthcare,9650,27.3,52.76,2471,56
2024,Healthcare,8418,11.2,373.09,1201,373
2015,Logistics,2248,28.26,270.47,817,303
2025,Food & Beverage,7243,17.22,208.34,1843,313
2016,Pharmaceutical,6567,8.31,218.36,1263,182
2025,Aerospace,971,9.32,154.29,457,323
2020,Electronics,696,16.46,415.55,174,455
2025,Healthcare,7118,26.81,323.06,547,311
2023,Construction,449,19.08,111.45,209,433
2015,Aerospace,2368,26.43,377.39,573,210
2018,Electronics,595,17.75,154.41,9,473
2020,Pharmaceutical,7204,27.6,240.77,3278,481
2019,Electronics,4509,8.1,91.92,1486,382
2024,Agriculture,6522,28.58,48.2,280,315
2021,Automotive,2345,8.63,372.43,1063,265
2017,Pharmaceutical,4186,7.42,457.89,1813,88
2017,Construction,7135,8.15,15.23,1556,285
2024,Automotive,7353,13.03,280.89,3148,275
2018,Energy,5131,16.61,340.75,1313,244
2016,Food & Beverage,6046,29.03,82.62,1863,413
2021,Food & Beverage,7767,8.38,472.76,537,461
2018,Electronics,6857,10.21,104.42,1144,182
2017,Aerospace,9551,15.2,155.23,3844,73
2017,Agriculture,183,16.17,441.64,68,118
2016,Energy,8595,14.49,440.92,3720,173
2016,Automotive,5360,13.27,406.5,152,439
2021,Healthcare,4208,11.96,301.62,2,453
2016,Energy,3091,18.15,120.72,267,497
2021,Construction,8042,20.35,168.59,2952,57
2023,Healthcare,8492,8.61,236.06,3184,272
2015,Construction,6380,12.5,111.84,2077,96
2022,Agriculture,9859,28.88,124.01,1140,170
2022,Construction,4610,12.5,373.54,2011,77
2017,Logistics,276,8.62,283.54,111,129
2021,Aerospace,70,6.18,413.35,25,306
2021,Energy,3299,20.21,100.96,1080,288
2020,Electronics,4959,9.61,55.82,1978,342
2023,Pharmaceutical,3394,14.12,198.08,1208,84
2020,Food & Beverage,3496,11.04,247.35,423,139
2019,Logistics,4121,8.67,115.33,1852,393
2018,Construction,4236,21.27,193.01,1125,229
2020,Aerospace,4431,23.9,101.81,1201,475
2022,Automotive,647,21.1,496.07,8,397
2022,Logistics,9692,23.01,419.17,2359,143
2016,Automotive,3033,13.81,399.6,57,101
2019,Food & Beverage,7765,20.9,376.9,601,491
2023,Construction,9257,24.82,108.38,4389,34
2017,Food & Beverage,1952,22.95,482.8,976,396
2024,Logistics,8084,11.67,198.4,2824,427
2025,Energy,2383,15.46,78.58,901,384
